        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
        1,        3,        5,        5,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
        1,        4,        9,       16,       20,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
        1,        5,       14,       30,       45,       27,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
        1,        6,       20,       50,       90,       98,       57,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
        1,        7,       27,       77,      162,      236,      232,      124,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
        1,        8,       35,      112,      269,      476,      618,      544,      235,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
        1,        9,       44,      156,      420,      862,     1356,     1578,     1207,      473,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
        1,       10,       54,      210,      625,     1448,     2641,     3734,     3875,     2688,      956,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
        1,       11,       65,      275,      895,     2299,     4733,     7775,     9917,     9377,     5939,     1899,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
        1,       12,       77,      352,     1242,     3492,     7969,    14796,    22057,    25740,    22347,    12940,     3801,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
        1,       13,       90,      442,     1679,     5117,    12776,    26314,    44482,    60854,    65472,    52414,    28056,     7612,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
        1,       14,      104,      546,     2220,     7278,    19685,    44372,    83363,   129598,   163933,   163460,   121571,    60486,    15211,        0,        0,        0,        0,        0,        0,        0,        0,        0
        1,       15,      119,      665,     2880,    10094,    29346,    71658,   147495,   255213,   367605,   432361,   401983,   279165,   129633,    30425,        0,        0,        0,        0,        0,        0,        0,        0
        1,       16,      135,      800,     3675,    13700,    42544,   111640,   249072,   472632,   758809,  1018528,  1119985,   975552,   635197,   276656,    60860,        0,        0,        0,        0,        0,        0,        0
        1,       17,      152,      952,     4622,    18248,    60216,   168718,   404614,   832732,  1467680,  2199276,  2765314,  2855764,  2339652,  1434160,   588121,   121707,        0,        0,        0,        0,        0,        0
        1,       18,      170,     1122,     5739,    23908,    83469,   248394,   636064,  1407678,  2692800,  4434578,  6233825,  7374816,  7180123,  5553330,  3215808,  1245750,   243417,        0,        0,        0,        0,        0
        1,       19,      189,     1311,     7045,    30869,   113599,   357461,   972074,  2297548,  4728372,  8458254, 13081347, 17325535, 19357309, 17829187, 13059894,  7166112,  2630600,   486844,        0,        0,        0,        0
        1,       20,      209,     1520,     8560,    39340,   152111,   504212,  1449500,  3638448,  7999420, 15403532, 25897865, 37776820, 47315221, 50091940, 43780732, 30458640, 15880840,  5539436,   973675,        0,        0,        0
        1,       21,      230,     1750,    10305,    49551,   200740,   698670,  2115127,  5612347, 13106730, 26972628, 48845125, 77518539,107042544,127200346,127979613,106428805, 70506034, 35018004, 11635211,  1947353,        0,        0
        1,       22,      252,     2002,    12302,    61754,   261473,   952840,  3027646,  8458884, 20883499, 45661954, 88412269,151223940,227375456,298182404,337146250,323214976,256373945,162102466, 76866279, 24383200,  3894716,        0
        1,       23,      275,     2277,    14574,    76224,   336572,  1280984,  4259906, 12489422, 32465934, 75056800,154457849,282607677,458251585,654872129,817924838,882192014,807752414,612466680,370392059,168029163, 50991999,  7789419
